URI	rdf-schema#label	country_label	country	populationTotal	wgs84_pos#lat	wgs84_pos#long
http://dbpedia.org/resource/Saveh	Saveh	Iran	http://dbpedia.org/resource/Iran	179009	35.0214	50.3567
http://dbpedia.org/resource/Diamante,_Entre_R%C3%ADos	Diamante Entre Ríos	Argentina	http://dbpedia.org/resource/Argentina	19545	-32.0667	-60.65
http://dbpedia.org/resource/Famaill%C3%A1	Famaillá	Argentina	http://dbpedia.org/resource/Argentina	24397	-27.05	-65.4
http://dbpedia.org/resource/Pasvalys	Pasvalys	Lithuania	http://dbpedia.org/resource/Lithuania	8562	56.0594	24.4036
http://dbpedia.org/resource/Amlai	Amlai	India	http://dbpedia.org/resource/India	30292	22.1892	78.6903
http://dbpedia.org/resource/Harissa,_Lebanon	Harissa Lebanon	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	33.9811	35.6514
http://dbpedia.org/resource/Orahovica	Orahovica	NULL	NULL	5289	45.5329	17.8795
http://dbpedia.org/resource/Lepoglava	Lepoglava	NULL	NULL	8271	46.2074	16.0437
http://dbpedia.org/resource/Naujoji_Akmen%C4%97	Naujoji Akmenė	Lithuania	http://dbpedia.org/resource/Lithuania	12345	56.3167	22.9
http://dbpedia.org/resource/Kval%C3%B8ysletta	Kvaløysletta	Norway	http://dbpedia.org/resource/Norway	NULL	69.6956	18.8836
http://dbpedia.org/resource/Padang_Sidempuan	Padang Sidempuan	North Sumatra	http://dbpedia.org/resource/North_Sumatra	178818	1.37861	99.2722
http://dbpedia.org/resource/Lazdijai	Lazdijai	Lithuania	http://dbpedia.org/resource/Lithuania	5140	54.2333	23.5167
http://dbpedia.org/resource/Firuzkuh	Firuzkuh	Iran	http://dbpedia.org/resource/Iran	15807	35.7569	52.7739
http://dbpedia.org/resource/Kangavar	Kangavar	Iran	http://dbpedia.org/resource/Iran	48901	34.5042	47.9653
http://dbpedia.org/resource/Birpur	Birpur	India	http://dbpedia.org/resource/India	17730	26.53	86.25
http://dbpedia.org/resource/Baabda	Baabda	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	33.8333	35.5333
http://dbpedia.org/resource/Nabatieh	Nabatieh	Lebanon	http://dbpedia.org/resource/Lebanon	40000	33.3639	35.4875
http://dbpedia.org/resource/Halba	Halba	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	34.5506	36.0781
http://dbpedia.org/resource/Mascara,_Algeria	Mascara Algeria	Algeria	http://dbpedia.org/resource/Algeria	150000	NULL	NULL
http://dbpedia.org/resource/Mamsapuram	Mamsapuram	India	http://dbpedia.org/resource/India	17931	9.50003	77.5869
http://dbpedia.org/resource/Estahban	Estahban	Iran	http://dbpedia.org/resource/Iran	33101	29.1267	54.0422
http://dbpedia.org/resource/Kushalgarh	Kushalgarh	India	http://dbpedia.org/resource/India	10096	23.17	74.45
http://dbpedia.org/resource/Salmas	Salmas	Iran	http://dbpedia.org/resource/Iran	79560	38.1972	44.7653
http://dbpedia.org/resource/Mercedes,_Corrientes	Mercedes Corrientes	Argentina	http://dbpedia.org/resource/Argentina	35244	-29.2	-58.0833
http://dbpedia.org/resource/Fengcheng,_Jiangxi	Fengcheng Jiangxi	NULL	NULL	1370000	28.1958	115.783
http://dbpedia.org/resource/Hokuto,_Hokkaido	Hokuto Hokkaido	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Monte_Caseros,_Corrientes	Monte Caseros Corrientes	Argentina	http://dbpedia.org/resource/Argentina	36338	-30.25	-57.65
http://dbpedia.org/resource/Pag%C4%97giai	Pagėgiai	Lithuania	http://dbpedia.org/resource/Lithuania	2321	55.1333	21.9167
http://dbpedia.org/resource/Nagarkurnool	Nagarkurnool	India	http://dbpedia.org/resource/India	26176	16.4833	78.3333
http://dbpedia.org/resource/Longjing,_Jilin	Longjing Jilin	China	http://dbpedia.org/resource/China	258000	42.7667	129.433
http://dbpedia.org/resource/Meymand	Meymand	Iran	http://dbpedia.org/resource/Iran	8615	28.8678	52.7533
http://dbpedia.org/resource/Shahreza	Shahreza	Iran	http://dbpedia.org/resource/Iran	110000	32.0089	51.8667
http://dbpedia.org/resource/Pavaratty	Pavaratty	India	http://dbpedia.org/resource/India	10823	10.5646	76.0625
http://dbpedia.org/resource/Gronau,_North_Rhine-Westphalia	Gronau North Rhine-Westphalia	Germany	http://dbpedia.org/resource/Germany	NULL	52.2125	7.04167
http://dbpedia.org/resource/Bazhong	Bazhong	China	http://dbpedia.org/resource/China	NULL	31.8667	106.75
http://dbpedia.org/resource/Esperanza,_Santa_Fe	Esperanza Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	40686	-31.4167	-60.9333
http://dbpedia.org/resource/L%C3%BCliang	Lüliang	NULL	NULL	3727057	37.5167	111.15
http://dbpedia.org/resource/Villa_Ca%C3%B1%C3%A1s	Villa Cañás	Argentina	http://dbpedia.org/resource/Argentina	9308	-34.0	-61.6
http://dbpedia.org/resource/Ehden	Ehden	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	34.3083	35.9667
http://dbpedia.org/resource/Las_Rosas,_Santa_Fe	Las Rosas Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	12646	-32.4833	-61.5833
http://dbpedia.org/resource/Jinchang	Jinchang	China	http://dbpedia.org/resource/China	464050	38.4953	102.174
http://dbpedia.org/resource/San_Crist%C3%B3bal,_Santa_Fe	San Cristóbal Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	14261	-30.3167	-61.2333
http://dbpedia.org/resource/Tostado,_Santa_Fe	Tostado Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	14249	-29.2333	-61.7667
http://dbpedia.org/resource/Longnan	Longnan	NULL	NULL	2567718	33.4	104.917
http://dbpedia.org/resource/San_Javier,_Santa_Fe	San Javier Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	15601	-30.5833	-59.95
http://dbpedia.org/resource/Alderetes	Alderetes	Argentina	http://dbpedia.org/resource/Argentina	38466	-26.8167	-65.1333
http://dbpedia.org/resource/San_Justo,_Santa_Fe	San Justo Santa Fe	Argentina	http://dbpedia.org/resource/Argentina	21815	-30.7833	-60.5833
http://dbpedia.org/resource/Carcara%C3%B1%C3%A1	Carcarañá	Argentina	http://dbpedia.org/resource/Argentina	15619	-32.85	-61.15
http://dbpedia.org/resource/Petrapole	Petrapole	India	http://dbpedia.org/resource/India	NULL	23.0	88.83
http://dbpedia.org/resource/Fethiye	Fethiye	Turkey	http://dbpedia.org/resource/Turkey	NULL	36.6514	29.1231
http://dbpedia.org/resource/Karata%C5%9F	Karataş	Turkey	http://dbpedia.org/resource/Turkey	NULL	36.5625	35.3803
http://dbpedia.org/resource/Aguilares,_Argentina	Aguilares Argentina	Argentina	http://dbpedia.org/resource/Argentina	35162	-27.4333	-65.6167
http://dbpedia.org/resource/Wuwei,_Gansu	Wuwei Gansu	China	http://dbpedia.org/resource/China	1815054	37.9281	102.641
http://dbpedia.org/resource/Elektr%C4%97nai	Elektrėnai	Lithuania	http://dbpedia.org/resource/Lithuania	13664	54.7861	24.6611
http://dbpedia.org/resource/Saimbeyli	Saimbeyli	Turkey	http://dbpedia.org/resource/Turkey	NULL	37.8	35.95
http://dbpedia.org/resource/Macheng	Macheng	NULL	NULL	NULL	31.3167	115.1
http://dbpedia.org/resource/Lambton_Shores	Lambton Shores	Canada	http://dbpedia.org/resource/Canada	10656	43.1833	-81.9
http://dbpedia.org/resource/Wuxue	Wuxue	NULL	NULL	NULL	29.85	115.55
http://dbpedia.org/resource/%C5%8Csh%C5%AB,_Iwate	Ōshū Iwate	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Matara,_Sri_Lanka	Matara Sri Lanka	Sri Lanka	http://dbpedia.org/resource/Sri_Lanka	68244	5.95	80.5333
http://dbpedia.org/resource/Chempu	Chempu	India	http://dbpedia.org/resource/India	NULL	9.80722	76.3969
http://dbpedia.org/resource/Laibin	Laibin	NULL	NULL	2498236	23.7333	109.233
http://dbpedia.org/resource/Chongzuo	Chongzuo	NULL	NULL	2347700	22.4167	107.367
http://dbpedia.org/resource/Izu_%C5%8Cshima	Izu Ōshima	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/To-shima	To-shima	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Gokarna,_India	Gokarna India	India	http://dbpedia.org/resource/India	25851	14.55	74.3167
http://dbpedia.org/resource/Navapur	Navapur	India	http://dbpedia.org/resource/India	40000	21.17	73.78
http://dbpedia.org/resource/Rohri	Rohri	Pakistan	http://dbpedia.org/resource/Pakistan	224362	28.1333	69.4833
http://dbpedia.org/resource/Hala,_Sindh	Hala Sindh	Pakistan	http://dbpedia.org/resource/Pakistan	161980	25.81	68.43
http://dbpedia.org/resource/Khvansar	Khvansar	Iran	http://dbpedia.org/resource/Iran	20490	33.2206	50.315
http://dbpedia.org/resource/Yongkang,_Zhejiang	Yongkang Zhejiang	China	http://dbpedia.org/resource/China	536000	28.9	120.033
http://dbpedia.org/resource/Neyriz	Neyriz	Iran	http://dbpedia.org/resource/Iran	45180	29.1989	54.3278
http://dbpedia.org/resource/Bhakkar	Bhakkar	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	31.6333	71.0667
http://dbpedia.org/resource/Ar_Ramtha	Ar Ramtha	Jordan	http://dbpedia.org/resource/Jordan	120365	32.55	35.85
http://dbpedia.org/resource/Nosratabad	Nosratabad	Iran	http://dbpedia.org/resource/Iran	4182	29.9	59.9833
http://dbpedia.org/resource/Bandar_Charak	Bandar Charak	Iran	http://dbpedia.org/resource/Iran	2958	26.7306	54.2747
http://dbpedia.org/resource/Kinokawa,_Wakayama	Kinokawa Wakayama	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Bir%C5%A1tonas	Birštonas	Lithuania	http://dbpedia.org/resource/Lithuania	3138	54.6028	24.0206
http://dbpedia.org/resource/Hechi	Hechi	NULL	NULL	3991900	24.6928	108.085
http://dbpedia.org/resource/Maldonado,_Uruguay	Maldonado Uruguay	Uruguay	http://dbpedia.org/resource/Uruguay	62590	-34.9	-54.95
http://dbpedia.org/resource/Guigang	Guigang	NULL	NULL	4400000	23.0961	109.609
http://dbpedia.org/resource/New_Richmond,_Quebec	New Richmond Quebec	Canada	http://dbpedia.org/resource/Canada	3810	48.1667	-65.8667
http://dbpedia.org/resource/Moguer	Moguer	Spain	http://dbpedia.org/resource/Spain	19032	37.2755	-6.83849
http://dbpedia.org/resource/Miyoshi,_Tokushima	Miyoshi Tokushima	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Jieh	Jieh	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	33.6657	35.4268
http://dbpedia.org/resource/Las_Piedras,_Uruguay	Las Piedras Uruguay	Uruguay	http://dbpedia.org/resource/Uruguay	71258	-34.7167	-56.2167
http://dbpedia.org/resource/Mangadu	Mangadu	India	http://dbpedia.org/resource/India	20108	13.0928	80.2221
http://dbpedia.org/resource/Tsetserleg_(city)	Tsetserleg (city)	Mongolia	http://dbpedia.org/resource/Mongolia	16300	47.4769	101.45
http://dbpedia.org/resource/Xianning	Xianning	NULL	NULL	2882000	29.8833	114.217
http://dbpedia.org/resource/Qianjiang,_Hubei	Qianjiang Hubei	China	http://dbpedia.org/resource/China	998525	30.4	112.9
http://dbpedia.org/resource/Nur,_Iran	Nur Iran	Iran	http://dbpedia.org/resource/Iran	5457	36.5736	52.0139
http://dbpedia.org/resource/Negombo	Negombo	Sri Lanka	http://dbpedia.org/resource/Sri_Lanka	128000	7.21111	79.8386
http://dbpedia.org/resource/Pilar,_Buenos_Aires_Province	Pilar Buenos Aires Province	Argentina	http://dbpedia.org/resource/Argentina	299077	-34.45	-58.9167
http://dbpedia.org/resource/Khowai	Khowai	India	http://dbpedia.org/resource/India	17621	24.1	91.63
http://dbpedia.org/resource/Malvan	Malvan	India	http://dbpedia.org/resource/India	60000	16.0565	73.4688
http://dbpedia.org/resource/Radovi%C5%A1	Radoviš	Macedonia	http://dbpedia.org/resource/Macedonia	16223	41.6361	22.4667
http://dbpedia.org/resource/Sillanwali	Sillanwali	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	31.49	72.32
http://dbpedia.org/resource/Haveli_Lakha	Haveli Lakha	Pakistan	http://dbpedia.org/resource/Pakistan	141741	NULL	NULL
http://dbpedia.org/resource/Ciudad_Hidalgo,_Michoac%C3%A1n	Ciudad Hidalgo Michoacán	Mexico	http://dbpedia.org/resource/Mexico	110311	19.6917	-100.554
http://dbpedia.org/resource/Horodenka	Horodenka	Ukraine	http://dbpedia.org/resource/Ukraine	9800	48.6675	25.5003
http://dbpedia.org/resource/Tonekabon	Tonekabon	Iran	http://dbpedia.org/resource/Iran	43128	36.8164	50.8739
http://dbpedia.org/resource/Tarapur,_Bihar	Tarapur Bihar	India	http://dbpedia.org/resource/India	NULL	25.38	86.47
http://dbpedia.org/resource/Kalvarija,_Lithuania	Kalvarija Lithuania	Lithuania	http://dbpedia.org/resource/Lithuania	5066	54.4167	23.2167
http://dbpedia.org/resource/Fatehgarh_Sahib	Fatehgarh Sahib	India	http://dbpedia.org/resource/India	50788	30.38	76.23
http://dbpedia.org/resource/Kosovska_Kamenica	Kosovska Kamenica	Kosovo	http://dbpedia.org/resource/Kosovo	35600	42.5667	21.5667
http://dbpedia.org/resource/Mitane,_Akita	Mitane Akita	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Arbet_Kozhaya	Arbet Kozhaya	Lebanon	http://dbpedia.org/resource/Lebanon	NULL	34.295	35.9256
http://dbpedia.org/resource/Banjarbaru	Banjarbaru	Indonesia	http://dbpedia.org/resource/Indonesia	199359	-3.46667	114.75
http://dbpedia.org/resource/Royan,_Iran	Royan Iran	Iran	http://dbpedia.org/resource/Iran	6339	36.5686	51.9669
http://dbpedia.org/resource/R%C3%ADo_Ceballos	Río Ceballos	Argentina	http://dbpedia.org/resource/Argentina	16632	-31.1667	-64.3167
http://dbpedia.org/resource/Pir_Bakran	Pir Bakran	Iran	http://dbpedia.org/resource/Iran	10851	32.4689	51.5578
http://dbpedia.org/resource/Yala,_Thailand	Yala Thailand	Thailand	http://dbpedia.org/resource/Thailand	76853	6.5425	101.283
http://dbpedia.org/resource/San_Justo,_Buenos_Aires	San Justo Buenos Aires	NULL	NULL	105274	-34.6833	-58.55
http://dbpedia.org/resource/Krasnoperekopsk	Krasnoperekopsk	Ukraine	http://dbpedia.org/resource/Ukraine	29871	45.9675	33.8003
http://dbpedia.org/resource/Kama,_Fukuoka	Kama Fukuoka	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Kuzhithurai	Kuzhithurai	India	http://dbpedia.org/resource/India	20326	8.31667	77.1833
http://dbpedia.org/resource/Lipik	Lipik	NULL	NULL	6175	45.415	17.16
http://dbpedia.org/resource/Happ%C5%8D,_Akita	Happō Akita	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/El_Tr%C3%A9bol	El Trébol	Argentina	http://dbpedia.org/resource/Argentina	10506	-32.1833	-61.7167
http://dbpedia.org/resource/Vodnjan	Vodnjan	Croatia	http://dbpedia.org/resource/Croatia	5651	44.9667	13.85
http://dbpedia.org/resource/Zierikzee	Zierikzee	Netherlands	http://dbpedia.org/resource/Netherlands	10483	51.6497	3.91639
http://dbpedia.org/resource/Brouwershaven	Brouwershaven	Netherlands	http://dbpedia.org/resource/Netherlands	1426	51.7264	3.91417
http://dbpedia.org/resource/Katiola_(town)	Katiola (town)	Ivory Coast	http://dbpedia.org/resource/Ivory_Coast	NULL	8.14056	-5.10222
http://dbpedia.org/resource/Dabou	Dabou	Ivory Coast	http://dbpedia.org/resource/Ivory_Coast	56633	5.31667	-4.38333
http://dbpedia.org/resource/Antratsyt	Antratsyt	Ukraine	http://dbpedia.org/resource/Ukraine	78000	48.1192	39.09
http://dbpedia.org/resource/Tartagal,_Salta	Tartagal Salta	Argentina	http://dbpedia.org/resource/Argentina	69696	-22.5	-63.8333
http://dbpedia.org/resource/Or%C3%A1n,_Salta	Orán Salta	Argentina	http://dbpedia.org/resource/Argentina	84036	-23.1333	-64.3333
http://dbpedia.org/resource/Ueckerm%C3%BCnde	Ueckermünde	Germany	http://dbpedia.org/resource/Germany	NULL	53.7389	14.0444
http://dbpedia.org/resource/Quevedo,_Ecuador	Quevedo Ecuador	Ecuador	http://dbpedia.org/resource/Ecuador	120379	-1.03333	-79.45
http://dbpedia.org/resource/Pakpattan	Pakpattan	Pakistan	http://dbpedia.org/resource/Pakistan	107781	30.345	73.385
http://dbpedia.org/resource/Marungoor	Marungoor	India	http://dbpedia.org/resource/India	10096	8.18472	77.5056
http://dbpedia.org/resource/Mehdishahr	Mehdishahr	Iran	http://dbpedia.org/resource/Iran	20581	35.7108	53.3539
http://dbpedia.org/resource/Taftan,_Balochistan	Taftan Balochistan	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	28.28	62.35
http://dbpedia.org/resource/Abdul_Hakeem,_Pakistan	Abdul Hakeem Pakistan	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Chelgard	Chelgard	Iran	http://dbpedia.org/resource/Iran	2708	32.4667	50.1231
http://dbpedia.org/resource/Sanmu,_Chiba	Sanmu Chiba	NULL	NULL	55054	35.6	140.417
http://dbpedia.org/resource/Katori,_Chiba	Katori Chiba	Japan	http://dbpedia.org/resource/Japan	81240	35.6833	140.033
